"OCCURRENCEID","EVENTDATE","LOCALITY","LATITUDE","LONGITUDE","SAMPLINGPROTOCOL...6","SAMPLINGEFFORT...7","SAMPLESIZEVALUE","SAMPLESIZEUNIT","SAMPLINGPROTOCOL...10","SAMPLINGEFFORT...11","INATID","WORMSID","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIFICEPITHET","INFRASPECIFICEPITHET","SPECIES_COMMON","TAXONREMARKS","ORGANISMQUANTITY","ORGANISMQUANTITYTYPE","SEX","LIFESTAGE","OWNER","OCCURRENCEREMARKS","WATERTEMPERATURE","WATERTEMPERATUREUNIT","WATERTEMPERATUREREMARKS","WATERVISIBILITY","WATERVISIBILITYUNIT","DIVETYPE","CLOUD","CLOUDUNIT","DEPTH","DEPTHUNIT","SWELL","SWELLUNIT","FIELDOFVIEW","FIELDOFVIEWUNIT","SURFACELUX","SURFACELUXUNIT","WINDDIRECTION","WINDSPEED","WINDSPEEDUNIT","PROFILE","PROFILEUNIT","BAITTYPE","TIMEOFFIRSTSIGHTING","TIMEOFMAXN","DAY","MONTH","YEAR","SPECIES_SCIENTIFIC","DATATYPE"
2627,2018-06-10 14:00:00,NA,"-33.93728","-33.93728",NA,NA,NA,NA,"BRUVS",69,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Poroderma","africanum",NA,"Pyjama shark",NA,1,"MaxN",NA,NA,"Cape RADD",NA,"16.8","C",NA,NA,NA,NA,NA,NA,13,"m",NA,NA,60,"/100",NA,NA,"SE",6,"kts",2,"/3","Sardine",1899-12-31 00:09:25,1899-12-31 00:09:25,"10","06","2018","PORODERMA AFRICANUM","BRUV"
2628,2018-06-10 14:00:00,NA,"-33.93728","-33.93728",NA,NA,NA,NA,"BRUVS",69,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Haploblepharus","pictus",NA,"Dark shyshark",NA,1,"MaxN",NA,NA,"Cape RADD",NA,"16.8","C",NA,NA,NA,NA,NA,NA,13,"m",NA,NA,60,"/100",NA,NA,"SE",6,"kts",2,"/3","Sardine",1899-12-31 00:13:30,1899-12-31 00:13:30,"10","06","2018","HAPLOBLEPHARUS PICTUS","BRUV"
2602,2018-07-10 13:10:00,NA,"-33.93918","-33.93918",NA,NA,NA,NA,"BRUVS",60,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Poroderma","africanum",NA,"Pyjama shark",NA,1,"MaxN",NA,NA,"Cape RADD",NA,"18","C",NA,NA,NA,NA,NA,NA,7,"m",NA,NA,5,"/100",575,"lux","SW",3,"kts",1,"/3","Sardine",1899-12-31 00:06:37,1899-12-31 00:06:37,"10","07","2018","PORODERMA AFRICANUM","BRUV"
2632,2018-09-11 15:40:00,NA,"-34.20138","-34.20138",NA,NA,NA,NA,"BRUVS",60,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Haploblepharus","edwardsii",NA,"Puffadder shyshark",NA,1,"MaxN",NA,NA,"Cape RADD",NA,"17.5","C",NA,NA,NA,NA,NA,NA,8,"m",NA,NA,50,"/100",NA,NA,"W",7,"kts",1,"/3","Sardine",1899-12-31 00:06:26,1899-12-31 00:06:26,"11","09","2018","HAPLOBLEPHARUS EDWARDSII","BRUV"
2636,2018-09-11 16:30:00,NA,"-34.20138","-34.20138",NA,NA,NA,NA,"BRUVS",60,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Haploblepharus","edwardsii",NA,"Puffadder shyshark",NA,1,"MaxN",NA,NA,"Cape RADD",NA,"17.5","C",NA,NA,NA,NA,NA,NA,8,"m",NA,NA,50,"/100",666,"lux","W",7,"kts",2,"/3","Sardine",1899-12-31 00:06:26,1899-12-31 00:06:26,"11","09","2018","HAPLOBLEPHARUS EDWARDSII","BRUV"
2639,2018-09-11 16:30:00,NA,"-34.20138","-34.20138",NA,NA,NA,NA,"BRUVS",60,56050,105822,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus mustelus",NA,"Common Smooth-hound",NA,1,"MaxN",NA,NA,"Cape RADD",1900-01-02 04:16:00,"17.5","C",NA,NA,NA,NA,NA,NA,8,"m",NA,NA,50,"/100",666,"lux","W",7,"kts",2,"/3","Sardine",1899-12-31 00:35:16,1899-12-31 00:35:16,"11","09","2018","MUSTELUS MUSTELUS","BRUV"
2613,2019-05-29 15:40:00,NA,"-34.13537","-34.13537",NA,NA,NA,NA,"BRUVS",60,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Haploblepharus","edwardsii",NA,"Puffadder shyshark",NA,4,"MaxN",NA,NA,"Cape RADD",NA,"15","C",NA,NA,NA,NA,NA,NA,12,"m",NA,NA,45,"/100",833,"lux","SW",3,"kts",3,"/3","Sardine",1899-12-31 00:02:40,1899-12-31 00:06:39,"29","05","2019","HAPLOBLEPHARUS EDWARDSII","BRUV"
2616,2019-05-29 15:40:00,NA,"-34.13537","-34.13537",NA,NA,NA,NA,"BRUVS",60,110143,217649,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Poroderma","africanum",NA,"Pyjama shark",NA,2,"MaxN",NA,NA,"Cape RADD",NA,"15","C",NA,NA,NA,NA,NA,NA,12,"m",NA,NA,45,"/100",833,"lux","SW",3,"kts",3,"/3","Sardine",1899-12-31 00:17:00,1899-12-31 00:23:34,"29","05","2019","PORODERMA AFRICANUM","BRUV"
2617,2019-05-29 15:40:00,NA,"-34.13537","-34.13537",NA,NA,NA,NA,"BRUVS",60,102104,217645,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Haploblepharus","pictus",NA,"Dark shyshark",NA,2,"MaxN",NA,NA,"Cape RADD",NA,"15","C",NA,NA,NA,NA,NA,NA,12,"m",NA,NA,45,"/100",833,"lux","SW",3,"kts",3,"/3","Sardine",1899-12-31 00:17:59,1899-12-31 00:18:33,"29","05","2019","HAPLOBLEPHARUS PICTUS","BRUV"
2619,2019-06-19 14:30:00,NA,"-34.24167","-34.24167",NA,NA,NA,NA,"BRUVS",60,102101,217646,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Haploblepharus","edwardsii",NA,"Puffadder shyshark",NA,1,"MaxN",NA,NA,"Cape RADD",NA,"15.5","C",NA,NA,NA,NA,NA,NA,12,"m",NA,NA,100,"/100",798,"lux","SE",2,"kts",2,"/3","Sardine",1899-12-31 00:00:59,1899-12-31 00:00:59,"19","06","2019","HAPLOBLEPHARUS EDWARDSII","BRUV"
