"SPECIES_COMMON","SPECIES_SCIENTIFIC","QUANTITY","DATE","TYPE","LOCATION","LATITUDE","LONGITUDE","YEAR","MONTH","DAY","OWNER","DATATYPE"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"2015/03/15","Diving/Snorkelling","Red Bait Reef, Plettenberg Bay",-34.05958,23.379912,2015,3,15,"ELMO","UVC"
"BROWN SHYSHARK","HAPLOBLEPHARUS FUSCUS",1,"2015/09/08","Diving/Snorkelling","Atlantis Reef Cape Town",-34.25,18.483333,2015,9,8,"ELMO","UVC"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",12,"2016/03/02","Diving/Snorkelling","Evan's Peak, Port Elizabeth",-33.8433333,25.815,2016,3,2,"ELMO","UVC"
"BLOTCHED FANTAIL RAY","TAENIUROPS MEYENI",1,"2016/03/26","Diving/Snorkelling","2 Mile 2 buoy",-27.528,32.68,2016,3,26,"ELMO","UVC"
"BLOTCHED FANTAIL RAY","TAENIUROPS MEYENI",1,"2016/03/26","Diving/Snorkelling","2 Mile Simons Cave",-27.528,32.68,2016,3,26,"ELMO","UVC"
"BLOTCHED FANTAIL RAY","TAENIUROPS MEYENI",9,"2016/03/28","Diving/Snorkelling","Stringer",-30.271,30.8237,2016,3,28,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2016/04/24","Diving/Snorkelling","Smitswinkelbay",-34.267157,18.467789,2016,4,24,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2016/04/27","Diving/Snorkelling","Smitswinkelbay",-34.266618,18.467661,2016,4,27,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2016/05/04","Diving/Snorkelling","Blinders Reef, Plettenberg Bay",-34.059487,23.382732,2016,5,4,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2016/05/04","Diving/Snorkelling","Blinders Reef, Plettenberg Bay",-34.059487,23.382732,2016,5,4,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",2,"2016/05/23","Diving/Snorkelling","Redbait, Plettenberg Bay",-34.05949,23.380479,2016,5,23,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",2,"2016/05/29","Diving/Snorkelling","Plettenberg Bay",-34.059613,23.383011,2016,5,29,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",2,"2016/06/05","Diving/Snorkelling","Riy Banks",-33.985,25.862,2016,6,5,"ELMO","UVC"
"ONEFIN ELECTRIC RAY","NARKE CAPENSIS",1,"2016/06/06","Diving/Snorkelling","Longbeach",-34.134917,18.328066,2016,6,6,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2017/10/08","Diving/Snorkelling","Shallow Blinders",-34.05925,23.383694,2017,10,8,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2017/10/08","Diving/Snorkelling","Shallow Blinders",-34.05925,23.383694,2017,10,8,"ELMO","UVC"
"LEOPARD CATSHARK","PORODERMA PANTHERINUM",1,"2017/10/08","Diving/Snorkelling","Shallow Blinders",-34.05925,23.383694,2017,10,8,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",2,"2017/10/21","Diving/Snorkelling","Botsata",-34.274722,18.482472,2017,10,21,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2017/11/17","Diving/Snorkelling","Boat Rock",-34.234167,18.484167,2017,11,17,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2017/12/08","Diving/Snorkelling","Windmill Beach",-34.201,18.45667,2017,12,8,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2017/12/08","Diving/Snorkelling","Windmill Beach",-34.201,18.45667,2017,12,8,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2017/12/22","Diving/Snorkelling","Windmill Beach",-34.201,18.45667,2017,12,22,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",2,"2017/12/26","Diving/Snorkelling","False Bay",-34.201,18.45667,2017,12,26,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2018/01/02","Diving/Snorkelling","Windmill beach, false bay",-34.201,18.45667,2018,1,2,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",1,"2018/01/06","Diving/Snorkelling","Millers Point",-34.230483,18.4739,2018,1,6,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2018/01/06","Diving/Snorkelling","A-Frame",-34.20807,18.46103,2018,1,6,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2018/01/12","Diving/Snorkelling","Windmill Beach",-34.201,18.45667,2018,1,12,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",2,"2018/01/29","Diving/Snorkelling","Windmill Beach",-34.201,18.4567,2018,1,29,"ELMO","UVC"
"PYJAMA SHARK","PORODERMA AFRICANUM",1,"2018/03/04","Diving/Snorkelling","A-frame",-34.208067,18.461033,2018,3,4,"ELMO","UVC"
"PUFFADDER SHYSHARK","HAPLOBLEPHARUS EDWARDSII",16,"2018/04/13","Diving/Snorkelling","shark Alley",-34.230367,18.473517,2018,4,13,"ELMO","UVC"
"SPOTTED RAGGED-TOOTH SHARK","CARCHARIAS TAURUS",1,"43536","Diving/Snorkelling","Sodwana Bay",-27.535612,32.682774,2019,3,12,"ELMO","UVC"
